+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                               ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                           ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|cntr_b                                                             ; 3     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|wrfull_eq_comp                                                     ; 24    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|rdempty_eq_comp                                                    ; 24    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|ws_dgrp|dffpipe17                                                  ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|ws_dgrp                                                            ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|rs_dgwp|dffpipe14                                                  ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|rs_dgwp                                                            ; 14    ; 0              ; 0            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|fifo_ram|mux13                                                     ; 129   ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; test_channels[0].chnl_tester_i|fifo_c_unit_to_riffa|dcfifo_mixed_widths_component|auto_generated|fifo_ram|wren_decode_a                                             ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
